Tm,W,L,T,Position,Reason
San Diego Chargers (1),14,2,0,West Champion,
Baltimore Ravens (2),13,3,0,North Champion,
Indianapolis Colts (3),12,4,0,South Champion,head-to-head record
New England Patriots (4),12,4,0,East Champion,
New York Jets (5),10,6,0,Wild Card #1,
Kansas City Chiefs (6),9,7,0,Wild Card #2,division win percentage
Denver Broncos,9,7,0,,
Cincinnati Bengals,8,8,0,,conference win percentage
Tennessee Titans,8,8,0,,strength of victory
Jacksonville Jaguars,8,8,0,,head-to-head record
Pittsburgh Steelers,8,8,0,,
Buffalo Bills,7,9,0,,
Houston Texans,6,10,0,,head-to-head record
Miami Dolphins,6,10,0,,
Cleveland Browns,4,12,0,,
Oakland Raiders,2,14,0,,
