Tm,W,L,T,Position,Reason
Philadelphia Eagles (1),12,4,0,East Champion,conference win percentage
St. Louis Rams (2),12,4,0,West Champion,
Carolina Panthers (3),11,5,0,South Champion,
Green Bay Packers (4),10,6,0,North Champion,
Seattle Seahawks (5),10,6,0,Wild Card #1,strength of victory
Dallas Cowboys (6),10,6,0,Wild Card #2,
Minnesota Vikings,9,7,0,,
New Orleans Saints,8,8,0,,
San Francisco 49ers,7,9,0,,head-to-head record
Tampa Bay Buccaneers,7,9,0,,conference win percentage
Chicago Bears,7,9,0,,
Atlanta Falcons,5,11,0,,win percentage in common games
Detroit Lions,5,11,0,,conference win percentage
Washington Redskins,5,11,0,,
New York Giants,4,12,0,,win percentage in common games
Arizona Cardinals,4,12,0,,
